incident_url,title,date,location_of_incident,date_of_incident,date_reported,incident_details,incident,loi_standardized,extracted_streets,doi_hour,doi_weekday,doi_day,doi_month,doi_semester,doi_year,coordinates
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-21/,Assault,"December 21, 2023",Victoria Street and Gould Street,2023-12-17 16:00:00,2023-12-17 16:00:00,"TMU Security witnessed a member of the public being kicked by five individuals. The individuals immediately fled on seeing security and left campus. The member of the public reported the individuals yelled at them and then started kicking them while they were on the ground, and also hit them with a non-edged object. The member of the public sustained visible injuries and medical attention was provided by security. Toronto Police Service was notified and attended.",Assault,gould street and victoria street,"['gould street', 'victoria street']",16,7,17,12,Fall,2023,"43.65768287052507, -79.38016088904517"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-18-2/,Assault,"December 18, 2023",Gerrard Street East and Nelson Mandela Wak,2023-12-14 11:15:00,2023-12-14 11:15:00,"A TMU community member reported to TMU Security that an individual threw and hit their shoulder with a non-edged object, and then yelled at them. Security attended, identified the individual and barred them from campus. The community member declined assistance from Toronto Police Service.",Assault,gerrard street east and nelson mandela walk,"['gerrard street east', 'nelson mandela walk']",11,4,14,12,Fall,2023,"43.65937181757632, -79.38079655980259"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-18/,Assault,"December 18, 2023",Victoria Street Laneway and Dundas Street East,2023-12-14 06:00:00,2023-12-14 06:00:00,"A TMU community guest reported to TMU Security that an individual followed them inside a TMU building and when confronted spat towards them. Security attended, identified the individual and barred them from campus. The community guest declined assistance from Toronto Police Service.",Assault,dundas street east and victoria street lane,"['dundas street east', 'victoria street lane']",6,4,14,12,Fall,2023,"43.65613465257989, -79.37888516844146"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-13-3/,Criminal Harassment,"December 13, 2023",Gould Street and Church Street,2023-12-08 23:45:00,2023-12-08 23:45:00,"A TMU community member reported to TMU Security that two individuals approached them and then engaged them in conversation before then blocked the community member’s path. The community member demanded they move which they did. Shortly after, the two individuals were joined by two others and again approached the community member and surrounded them. The community member called Toronto Police Service and the individuals fled from the area.",Criminal Harassment,church street and gould street,"['church street', 'gould street']",23,5,8,12,Fall,2023,"43.658189627362574, -79.37782120191821"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-13-2/,Assault: Suspect Arrested,"December 13, 2023",Carlton Street and Church Street,2023-12-08 12:30:00,2023-12-08 12:30:00,"Two TMU community members reported to TMU Security that they witnessed an individual getting close to passersby and knocking a hat off one of the passersby. The individual then approached one of the community members, grabbed their arm and pushed them into a nearby wall while screaming at them. The community member was able to escape and entered a nearby TMU building. No visible injuries were reported. Security attended and found Toronto Police Service arresting the subject as TPS had observed the individual throw a rock at a member of the public.",Assault,carlton street and church street,"['carlton street', 'church street']",12,5,8,12,Fall,2023,"43.66190088114445, -79.3793601158093"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-13/,Assault,"December 13, 2023",Yonge Street and College Street,2023-12-07 08:30:00,2023-12-07 08:45:00,"A TMU community member reported to TMU Security that an individual approached them and tried to grab their arm. The community member was able to evade them and saw the individual pushing passersby and attempting to grab others in the area. The individual again approached the community member on Gerrard Street attempting to grab them, and the community member fled and entered a nearby TMU building. The community member declined assistance from Toronto Police Service.",Assault,college street and yonge street,"['college street', 'yonge street']",8,4,7,12,Fall,2023,"43.66137772332076, -79.38310163899247"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-11/,Mischief,"December 11, 2023",Sheldon & Tracy Levy Student Learning Centre,2023-11-29 16:30:00,2023-11-29 16:30:00,A TMU community member reported to TMU Security hate speech written on a stairwell wall. Toronto Police Service was notified.,Mischief,student learning centre,['building'],16,3,29,11,Fall,2023,"43.657812498079906, -79.38112441739146"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-24-2/,Uttering Threats,"November 24, 2023",Gould Street and Church Street,2023-11-21 09:45:00,2023-11-21 09:45:00,"A TMU community member reported to TMU Security that an individual yelled at them threatening to harm them. The community member walked away and the individual pointed at them and again threatened them. The community member reported that while leaving, they witnessed the individual threatening passersby in the area. Security attended but the individual had already left campus. The community member declined assistance from Toronto Police Service.",Uttering Threats,church street and gould street,"['church street', 'gould street']",9,2,21,11,Fall,2023,"43.658189627362574, -79.37782120191821"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-24/,Assault,"November 24, 2023",Gould Street and Bond Street,2023-11-18 11:00:00,2023-11-18 11:00:00,A TMU community member reported to TMU Security that an individual approached them and hit their hand with a non-edged object and then left. Security attended and identified the individual as they were leaving campus. No visible injuries were reported. The community member informed security they would notify Toronto Police Service.,Assault,bond street and gould street,"['bond street', 'gould street']",11,6,18,11,Fall,2023,"43.65795810700874, -79.37897634514208"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-23-3/,Robbery,"November 23, 2023",Mutual Street and Gould Street,2023-11-16 22:30:00,2023-11-16 22:30:00,Two TMU community members reported to TMU Security that they witnessed a member of the public being struck in the head with a non-edged object and their belongings taken by two individuals. The individuals were then seen leaving the area. Security attended and provided medical assistance for visible injuries sustained. Toronto Paramedic Services and Toronto Police Service were notified and attended.,Robbery,gould street and mutual street,"['gould street', 'mutual street']",22,4,16,11,Fall,2023,"43.65852639815135, -79.37634984144941"
