incident_url,paragraph_num,description
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-21/,1,"The first individual was described as female with a light complexion and approximately 170 cm (5’7”). They had medium-length dark brown hair. They were wearing a black coat, red hoodie, brown jeans, white running shoes and carrying a black duffle bag."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-21/,2,"The second individual was described as male with a medium complexion, is 29 years old and approximately 178 cm (5’10”). They had short dark hair and black facial hair. They were wearing a black coat, black jeans, multi-coloured running shoes and carrying a grey and black backpack."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-21/,3,"The third individual was described as male with a dark complexion and approximately 178 cm (5’10”). They had short black hair and black facial hair. They were wearing a black coat, blue jeans, black running shoes and carrying a brown bag."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-21/,4,"The fourth individual was described as male with a light complexion and approximately 175 cm (5’9”). They had short black hair. They were wearing a black coat, black hoodie, brown sweatpants and white running shoes."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-21/,5,"The fifth individual was described as male with a light complexion and approximately 175 cm (5’9”). They were wearing a white baseball hat, multi-coloured coat, black zip-up top, blue jeans and brown running shoes."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-18-2/,1,"The individual was described as female with a dark complexion, is 35 years old and approximately 165 cm (5’5”). They had long dark brown curly hair. They were wearing a black toque, headphones, black and white coat, black sweatpants, white sneakers and had a black tote bag."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-18/,1,"The individual was described as female with a light complexion, is 29 years old and approximately 168 cm (5’6”). They had long dark brown curly hair. They were wearing a black coat."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-13-3/,1,No descriptions available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-13-2/,1,"The individual was described as male with a light complexion, is 37 years old and approximately 170 cm (5’7”). They had dark brown hair. They were wearing a black baseball hat, black coat, white t-shirt, red cargo pants and black and yellow shoes."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-13/,1,
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/12/security-incident-december-11/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-24-2/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-24/,1,"The individual was described as male with a medium complexion, is 28 years old and approximately 173 cm (5’8”). They had long dark brown hair in a ponytail and a dark brown full beard. They were carrying a blue suitcase and had a bicycle."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-23-3/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-23-2/,1,"The individual was described as male with a dark complexion, approximately 30 to 40 years old and approximately 168 cm (5’6”). They had black hair. They were wearing a black coat and blue jeans."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-23/,1,"The individual was described as female with a light complexion and approximately 60 to 80 years old. They had long white hair. They were wearing a light blue jean jacket, black cardigan, light blue jeans and black sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-15-2/,1,The individual was described as female with a light complexion and approximately 165 cm (5’5”). They had long light brown hair in a bun. They were wearing a grey hoodie and black tights.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-15/,1,"The individual was described as male with a medium complexion, approximately 20 to 30 years old and approximately 183 cm (6’). They were wearing a white coat, white sweatpants and sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-7/,1,"The individual was described as male with a light complexion, approximately 25 to 35 years old and approximately 175 cm (5’9”). They had medium-length blonde hair. They were wearing a light blue varsity jacket, black sweatpants and grey sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-3-4/,1,"The individual was described as male with a dark complexion, is 57 years old and approximately 193 cm (6’4”). They had short black hair. They were wearing a black jacket and grey sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-3-3/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-3-2/,1,
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-3/,1,"The individual was described as male with a dark complexion, is 27 years old and approximately 168 cm (5’6”). They had short black hair. They were wearing a beige baseball hat, black jacket, red Raptors sleeveless shirt and green cargo pants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-1-3/,1,"The individual was described as male, with a medium complexion, is 28 years old and approximately 168 (5’6”). They had medium-length black hair and black facial hair. They were wearing a black leather jacket, blue sweater and blue jeans."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-1-2/,1,"The individual was described as male with a light complexion,is 57 years old and approximately 168 cm (5’6”). They had short grey hair and a grey fullbeard.They were wearing a green hoodie, blue jeans and sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-1/,1,"The individual was described as male with a light complexion, approximately 25 to 40 years old and approximately 183 cm (6’). They were wearing a baseball hat, orange jacket, black sweatpants and had a dog on a leash."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-6/,1,"The individual was described as male, with a medium complexion and approximately 25 to 30 years old. They had short black hair. They were wearing a black baseball hat, red t-shirt, beige shorts and white sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-5/,1,"The individual was described as male with a light complexion and approximately 20 to 30 years old. They had medium-length dirty blonde wavy hair. They were wearing a black leather jacket, black long sleeve t-shirt, black pants and beige boots."
