loi_standardized,coordinates,notes
church street and mutual street,,not an intersection?
gerrard street and victoria lane,,not an intersection?
gerrard street and victoria street,,not an intersection?
gerrard street east and victoria street,,not an intersection?
ted rogers school of management,"43.65545250716536, -79.3828724994225",
bay street and dundas street west,"43.65574103459671, -79.38374020371472",
dundas square,"43.656107306160074, -79.38017906665567",
dundas station,"43.656298093549054, -79.38046224349371",
dundas street east and victoria street lane,"43.65613465257989, -79.37888516844146",
hoem,"43.65622239860645, -79.37451898686516",
bond street and dundas street east,"43.65626355870508, -79.37830993397347",
dundas street east and victoria street,"43.65629025535696, -79.37957631384445",
dundas street and yonge street,"43.65633116175363, -79.38091825259052",
church street and dundas street east,"43.65650076033603, -79.37713412637842",
dalhousie street and dundas street east,"43.65662311022176, -79.37653297187403",
dundas street east and mutual street,"43.656818000925945, -79.3756375497538",
victoria building,"43.65690083331468, -79.37949887723374",
dundas street east and jarvis street,"43.65709201237056, -79.37455939161563",
heaslip house and the g. raymond chang school of continuing education,"43.65723404337095, -79.37960215793838",
daphne cockwell complex,"43.65734154659504, -79.37763848770696",
gould street and yonge street,"43.657411127296, -79.38136126154417",
devonian pond,"43.65750564708442, -79.37973484195416",
gould street and o’keefe lane,"43.657543705630616, -79.38073635225399",
tmu image centre,"43.65768286963344, -79.37930851618218",
gould street and victoria street,"43.65768287052507, -79.38016088904517",
george vari engineering and computing centre,"43.65769895698917, -79.37729744631798",
library,"43.65779910775733, -79.38040100856098",
student learning centre,"43.657812498079906, -79.38112441739146",
elm street and yonge street,"43.65788681851093, -79.38157427705393",
ram in the rye pub,"43.657954790812745, -79.37802821075783",
bond street and gould street,"43.65795810700874, -79.37897634514208",
church street and gould street,"43.658189627362574, -79.37782120191821",
dalhousie street and gould street,"43.658316194943616, -79.37724613583755",
podium,"43.65839759121434, -79.38080694459596",
recreation and athletic centre,"43.65849055343455, -79.37922614382674",
nelson mandela walk,"43.658502415420735, -79.38047473908341",
gould street and mutual street,"43.65852639815135, -79.37634984144941",
rogers communications centre,"43.65871860435374, -79.37697129173189",
kerr hall,"43.65872884886123, -79.37931214174546",
jorgenson hall,"43.65906457338991, -79.38104985859884",
gerrard street and yonge street,"43.65908320758821, -79.38208988425687",
gerrard street east and o’keefe lane,"43.65922651282086, -79.3814208955728",
pitman hall,"43.65928902658296, -79.37698818338878",
gerrard street east and nelson mandela walk,"43.65937181757632, -79.38079655980259",
sally horsfall eaton centre for studies in community health,"43.65969111551383, -79.37736720158085",
church street and gerrard street,"43.65985897345095, -79.37850762740992",
gerrard street east and mutual street,"43.6601825227526, -79.37702572688684",
gerrard street east and jarvis street,"43.66043550637199, -79.37587159786494",
church street and granby street,"43.6612555264257, -79.37909386007979",
college street and yonge street,"43.66137772332076, -79.38310163899247",
carlton street and yonge street,"43.66137888348643, -79.38310174644049",
carlton street and church street,"43.66190088114445, -79.3793601158093",
mattamy athletic centre,"43.662198671612614, -79.3803328438783",
parking garage,,nondescript
bay street and yonge street,,not an intersection?
online,,
tmu campus,,
